Scholarship Name,Deadline,Amount,Description,Location,Years,Link
Order Sons of Italy in America National Leadership Grant,28-Feb,"25,000","Applicant must be of Italian heritage and be a full-time student attending or planning on attending an accredited four-year institution who has demonstrated exceptional leadership qualities and a distinguished level of scholastic achievement. Recipients will be officially recognized in May at the SIF&#039;s National Education &amp; Leadership Awards (NELA) Gala in Washington, DC. Monetary awards are presented directly to students&#039; academic institutions in accordance with eligibility requirements.",No Geographic Restrictions,"College junior, College freshman, College senior, College sophomore",http://www.collegescholarships.org/financial-aid/scholarship/order-sons-of-italy-in-america-national-leadership-grant
Entrance Scholarship,Rolling,"15,000","Applicant must be an incoming first-year student. Selection based upon portfolio rating, GPA, and SAT Reasoning/ACT score.",No Geographic Restrictions,College freshman,http://www.collegescholarships.org/financial-aid/scholarship/entrance-scholarship
Agnes Jones Jackson Scholarship,31-Mar,"2,500",Applicant must be current member of the NAACP and must not have reached the age of 25 by the application deadline. Applicant must be a citizen of the United States and be enrolled in an accredited college or university in the United States. Undergraduate students must be full-time with a GPA of at least 2.5 (C+). Graduate students may be full or part-time with a GPA of 3.0 (B). Applicant must demonstrate financial need. Renewal of the Agnes Jones Jackson Scholarship is competitive. Please refer to the NAACP National Website or call the NAACP National Education Department at 410 580-5760 for more information.,No Geographic Restrictions,"College freshman, Master&#039;s-level study, College senior, Doctoral-level study, College sophomore, College junior",http://www.collegescholarships.org/financial-aid/scholarship/agnes-jones-jackson-scholarship
Fellowship in Jewish Studies,31-Oct,"10,000","Applicant must have an interest in Jewish studies. Award is to assist well-qualified individuals in carrying out an independent scholarly, literary, or art project, in a field of Jewish specialization which makes a significant contribution to the understanding, preservation, enhancement, or transmission of Jewish culture.",No Geographic Restrictions,High school senior,http://www.collegescholarships.org/financial-aid/scholarship/fellowship-in-jewish-studies
Doctoral Scholarship,31-Oct,"10,000",Applicant must be a doctoral student specializing in Jewish fields. Priority is given to candidates whose dissertation topics have been approved.,No Geographic Restrictions,Doctoral-level study,http://www.collegescholarships.org/financial-aid/scholarship/doctoral-scholarship
AGBU Fellowships for U.S. Based Study,30-Apr,"7,500","Applicant must be of Armenian heritage, be a full-time graduate student seeking a master&#039;s or doctorate degree at a highly- or most-competitive U.S. institution, and have a minimum 3.5 GPA in undergraduate work.",No Geographic Restrictions,Master&#039;s-level study,http://www.collegescholarships.org/financial-aid/scholarship/agbu-fellowships-for-us-based-study
Anna and Charles Stockwitz Children and Youth Loan,31-Oct,"6,000","Applicant must be Jewish, be a resident of the San Francisco Bay area, and have a cosigner who resides in the Bay area.",San Francisco,"College sophomore, College junior, Master&#039;s-level study, Other postgraduate-level study, College senior, College freshman, Doctoral-level study",http://www.collegescholarships.org/financial-aid/scholarship/anna-and-charles-stockwitz-children-and-youth-loan
Vivienne Camp College Scholarship,None,"4,350","Applicant must be Jewish, reside in Marin County, San Francisco County, San Mateo County, or Sonoma County, Calif., and demonstrate academic achievement, promise, and financial need","Marin, San Francisco, San Mateo, Sonoma","College senior, College freshman, College junior, College sophomore",http://www.collegescholarships.org/financial-aid/scholarship/vivienne-camp-college-scholarship
Jacob Rassen Memorial Scholarship,31-Oct,"1,900","Applicant must be Jewish, be under age 22, demonstrate financial need, and be a resident of Marin, San Francisco, San Mateo, or Sonoma County, Calif. Award is for a study trip to Israel.","Marin, San Francisco, San Mateo, Sonoma","College sophomore, Master&#039;s-level study, Other postgraduate-level study, College junior, College senior, Doctoral-level study, College freshman",http://www.collegescholarships.org/financial-aid/scholarship/jacob-rassen-memorial-scholarship
Stanley Olson Youth Scholarship,31-Oct,"2,500","Applicant must be Jewish, be under age 26, demonstrate financial need, and be a resident of Marin, San Francisco, San Mateo, or Sonoma County, Calif.","Marin, San Francisco, San Mateo, Sonoma","College senior, College junior, College sophomore, Other postgraduate-level study, Doctoral-level study, Master&#039;s-level study, College freshman",http://www.collegescholarships.org/financial-aid/scholarship/stanley-olson-youth-scholarship
